5	444
6	405
7	305
8	231
9	202
10	190
11	184
12	182
13	182
14	182
15	183
16	184
17	185
18	185
19	186
20	187
21	187
22	188
23	188
24	189
25	190
26	192
27	354
28	330
29	310
30	292
31	277
32	265
33	258
34	253
35	251
36	250
37	250
38	251
39	252
40	254
41	255
42	256
43	257
44	258
45	262
46	273
47	276
48	277
49	276
50	274
51	272
52	269
53	266
54	263
55	260
56	257
57	254
58	252
59	249
60	245
61	243
62	238
63	234
64	232
65	230
66	230
67	230
68	231
69	232
70	233
